champion,champion_id,skin_id,skin_num,skin_name,chromas,patch
Aatrox,266,266000,0,default,False,16.1.1
Aatrox,266,266001,1,Justicar Aatrox,False,16.1.1
Aatrox,266,266002,2,Mecha Aatrox,True,16.1.1
Aatrox,266,266003,3,Sea Hunter Aatrox,False,16.1.1
Aatrox,266,266007,7,Blood Moon Aatrox,False,16.1.1
Aatrox,266,266008,8,Prestige Blood Moon Aatrox,False,16.1.1
Aatrox,266,266009,9,Victorious Aatrox,True,16.1.1
Aatrox,266,266011,11,Odyssey Aatrox,True,16.1.1
Aatrox,266,266020,20,Prestige Blood Moon Aatrox (2022),False,16.1.1
Aatrox,266,266021,21,Lunar Eclipse Aatrox,True,16.1.1
Aatrox,266,266030,30,DRX Aatrox,True,16.1.1
Aatrox,266,266031,31,Prestige DRX Aatrox,False,16.1.1
Aatrox,266,266033,33,Primordian Aatrox,True,16.1.1
Ahri,103,103000,0,default,False,16.1.1
Ahri,103,103001,1,Dynasty Ahri,True,16.1.1
Ahri,103,103002,2,Midnight Ahri,True,16.1.1
Ahri,103,103003,3,Foxfire Ahri,True,16.1.1
Ahri,103,103004,4,Popstar Ahri,True,16.1.1
Ahri,103,103005,5,Challenger Ahri,True,16.1.1
Ahri,103,103006,6,Academy Ahri,True,16.1.1
Ahri,103,103007,7,Arcade Ahri,True,16.1.1
Ahri,103,103014,14,Star Guardian Ahri,True,16.1.1
Ahri,103,103015,15,K/DA Ahri,True,16.1.1
Ahri,103,103016,16,Prestige K/DA Ahri,False,16.1.1
Ahri,103,103017,17,Elderwood Ahri,True,16.1.1
Ahri,103,103027,27,Spirit Blossom Ahri,True,16.1.1
Ahri,103,103028,28,K/DA ALL OUT Ahri,True,16.1.1
Ahri,103,103042,42,Coven Ahri,True,16.1.1
Ahri,103,103065,65,Prestige K/DA Ahri (2022),False,16.1.1
Ahri,103,103066,66,Arcana Ahri,True,16.1.1
Ahri,103,103076,76,Snow Moon Ahri,True,16.1.1
Ahri,103,103085,85,Risen Legend Ahri,False,16.1.1
Ahri,103,103086,86,Immortalized Legend Ahri,False,16.1.1
Ahri,103,103088,88,Spirit Blossom Springs Ahri,False,16.1.1
Ahri,103,103089,89,After Hours Spirit Blossom Springs Ahri,True,16.1.1
Akali,84,84000,0,default,False,16.1.1
Akali,84,84001,1,Stinger Akali,False,16.1.1
Akali,84,84002,2,Infernal Akali,False,16.1.1
Akali,84,84003,3,All-star Akali,False,16.1.1
Akali,84,84004,4,Nurse Akali,True,16.1.1
Akali,84,84005,5,Blood Moon Akali,False,16.1.1
Akali,84,84006,6,Silverfang Akali,False,16.1.1
Akali,84,84007,7,Headhunter Akali,True,16.1.1
Akali,84,84008,8,Sashimi Akali,False,16.1.1
Akali,84,84009,9,K/DA Akali,False,16.1.1
Akali,84,84013,13,Prestige K/DA Akali,False,16.1.1
Akali,84,84014,14,PROJECT: Akali,True,16.1.1
Akali,84,84015,15,True Damage Akali,True,16.1.1
Akali,84,84032,32,K/DA ALL OUT Akali,True,16.1.1
Akali,84,84050,50,Crime City Nightmare Akali,False,16.1.1
Akali,84,84060,60,Prestige K/DA Akali (2022),False,16.1.1
Akali,84,84061,61,Star Guardian Akali,False,16.1.1
Akali,84,84068,68,DRX Akali,False,16.1.1
Akali,84,84070,70,Coven Akali,False,16.1.1
Akali,84,84071,71,Prestige Coven Akali,True,16.1.1
Akali,84,84082,82,Empyrean Akali,False,16.1.1
Akali,84,84092,92,Spirit Blossom Akali,False,16.1.1
Akshan,166,166000,0,default,False,16.1.1
Akshan,166,166001,1,Cyber Pop Akshan,True,16.1.1
Akshan,166,166010,10,Crystal Rose Akshan,True,16.1.1
Akshan,166,166020,20,Three Honors Akshan,False,16.1.1
Alistar,12,12000,0,default,False,16.1.1
Alistar,12,12001,1,Black Alistar,False,16.1.1
Alistar,12,12002,2,Golden Alistar,False,16.1.1
Alistar,12,12003,3,Matador Alistar,False,16.1.1
Alistar,12,12004,4,Longhorn Alistar,False,16.1.1
Alistar,12,12005,5,Unchained Alistar,False,16.1.1
