champion,champion_id,skin_id,skin_num,skin_name,chromas,price,release_date,imagePath,splashPath,loadingPath,isEsports,isPrestige,isChroma,patch
Aatrox,266,266001,1,Justicar Aatrox,False,975,2013-06-12,/assets/splash/Aatrox_1_Justicar_Aatrox.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Aatrox_1.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Aatrox_1.jpg,False,False,False,16.1.1
Aatrox,266,266002,2,Mecha Aatrox,True,1350,2014-07-23,/assets/splash/Aatrox_2_Mecha_Aatrox.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Aatrox_2.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Aatrox_2.jpg,False,False,False,16.1.1
Aatrox,266,266003,3,Sea Hunter Aatrox,False,750,2015-07-22,/assets/splash/Aatrox_3_Sea_Hunter_Aatrox.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Aatrox_3.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Aatrox_3.jpg,False,False,False,16.1.1
Aatrox,266,266007,7,Blood Moon Aatrox,False,1350,2019-01-10,/assets/splash/Aatrox_7_Blood_Moon_Aatrox.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Aatrox_7.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Aatrox_7.jpg,False,False,False,16.1.1
Aatrox,266,266008,8,Prestige Blood Moon Aatrox,False,3300,2019-01-10,/assets/splash/Aatrox_8_Prestige_Blood_Moon_Aatrox.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Aatrox_8.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Aatrox_8.jpg,False,True,False,16.1.1
Aatrox,266,266009,9,Victorious Aatrox,True,,2019-11-21,/assets/splash/Aatrox_9_Victorious_Aatrox.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Aatrox_9.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Aatrox_9.jpg,False,False,False,16.1.1
Aatrox,266,266011,11,Odyssey Aatrox,True,1350,2020-10-15,/assets/splash/Aatrox_11_Odyssey_Aatrox.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Aatrox_11.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Aatrox_11.jpg,False,False,False,16.1.1
Aatrox,266,266020,20,Prestige Blood Moon Aatrox (2022),False,,2022-04-01,/assets/splash/Aatrox_20_Prestige_Blood_Moon_Aatrox_(2022).jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Aatrox_20.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Aatrox_20.jpg,False,True,False,16.1.1
Aatrox,266,266021,21,Lunar Eclipse Aatrox,True,1350,2022-04-28,/assets/splash/Aatrox_21_Lunar_Eclipse_Aatrox.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Aatrox_21.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Aatrox_21.jpg,False,False,False,16.1.1
Aatrox,266,266030,30,DRX Aatrox,True,1350,2023-06-01,/assets/splash/Aatrox_30_DRX_Aatrox.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Aatrox_30.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Aatrox_30.jpg,True,False,False,16.1.1
Aatrox,266,266031,31,Prestige DRX Aatrox,False,1650,2023-06-01,/assets/splash/Aatrox_31_Prestige_DRX_Aatrox.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Aatrox_31.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Aatrox_31.jpg,True,True,False,16.1.1
Aatrox,266,266033,33,Primordian Aatrox,True,1820,2024-07-31,/assets/splash/Aatrox_33_Primordian_Aatrox.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Aatrox_33.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Aatrox_33.jpg,False,False,False,16.1.1
Ahri,103,103001,1,Dynasty Ahri,True,975,2011-12-14,/assets/splash/Ahri_1_Dynasty_Ahri.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ahri_1.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Ahri_1.jpg,False,False,False,16.1.1
Ahri,103,103002,2,Midnight Ahri,True,750,2011-12-14,/assets/splash/Ahri_2_Midnight_Ahri.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ahri_2.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Ahri_2.jpg,False,False,False,16.1.1
Ahri,103,103003,3,Foxfire Ahri,True,975,2012-07-11,/assets/splash/Ahri_3_Foxfire_Ahri.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ahri_3.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Ahri_3.jpg,False,False,False,16.1.1
Ahri,103,103004,4,Popstar Ahri,True,975,2013-11-25,/assets/splash/Ahri_4_Popstar_Ahri.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ahri_4.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Ahri_4.jpg,False,False,False,16.1.1
Ahri,103,103005,5,Challenger Ahri,True,975,2015-01-15,/assets/splash/Ahri_5_Challenger_Ahri.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ahri_5.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Ahri_5.jpg,False,False,False,16.1.1
